8.029136,
8.512636,
4.665455,
4.602273,
4.133364,
3.457318,
5.154727,
4.999364,
5.459818,
5.206091,
5.392591,
5.662545,
4.699591,
4.901500,
2.667318,
2.078000,
2.929000,
1.064136,
2.144909,
2.388773,
2.077955,
5.190045,
1.508818,
4.954545,
2.592091,
2.667364,
3.035591,
1.796864,
1.259000,
3.220909,
3.810364,
1.756364,
1.617682,
3.304636,
0.954136,
3.072636,
3.239955,
3.092682,
2.077318,
1.486909,
2.211273,
1.495636,
1.177091,
1.996364,
1.306909,
3.964318,
1.603636,
4.011227,
5.982455,
1.968273,
1.191273,
1.537091,
2.014909,
1.915636,
1.643955,
2.345455,
2.226500,
1.443273,
3.355591,
1.767273,
5.115364,
1.539273,
2.974864,
3.982864,
2.252682,
3.091591,
2.199227,
6.367500,
3.279227,
2.984682,
4.804318,
1.807273,
2.122909,
1.518545,
2.415227,
2.271227,
2.938864,
2.048727,
1.804318,
3.680682,
2.165455,
1.321091,
1.978636,
5.884273,
2.700000,
3.387227,
4.106091,
2.235227,
2.569091,
1.567636,
1.649455,
2.955227,
7.329682,
2.118864,
1.133500,
5.212273,
2.414136,
4.460636,
4.451909,
2.615955,
2.074864,
2.630182,
1.579636,
1.141091,
4.414273,
1.386545,
2.681409,
1.179318,
2.677091,
1.168409,
2.470909,
2.496000,
1.252364,
2.035636,
6.207136,
3.017273,
1.518545,
1.064727,
1.382182,
2.121818,
1.769409,
1.627636,
1.911227,
2.872364,
1.575273,
3.269409,
4.179955,
4.268864,
3.346864,
2.238545,
4.160636,
1.766182,
5.984636,
3.825773,
1.262182,
2.767591,
2.542909,
2.091227,
2.056545,
2.034545,
2.117409,
1.965818,
2.874500,
2.568000,
2.018136,
1.408364,
3.068727,
1.318909,
3.585773,
1.282727,
1.999636,
4.057045,
3.725409,
1.588364,
3.789773,
1.685455,
1.577455,
1.937455,
1.566545,
2.661773,
2.466818,
9.883455,
2.204727,
2.912682,
1.275273,
1.394182,
2.929045,
3.267227,
6.316227,
2.839591,
2.057455,
1.729318,
0.925091,
1.273091,
2.638909,
2.192727,
3.725409,
2.900682,
2.317045,
2.386909,
2.246182,
4.822818,
2.877045,
1.936364,
2.026864,
2.776318,
3.905409,
2.390182,
6.539864,
4.276273,
3.698136,
4.902500,
1.145455,
8.288364,
2.559273,
1.836000,
2.036727,
3.894500,
2.947591,
2.424000,
1.947227,
2.473045,
3.301045,
3.117773,
1.154136,
2.166545,
1.298091,
4.107045,
1.916136,
2.716545,
1.603364,
1.794545,
1.980727,
1.704636,
3.137000,
4.468182,
2.386000,
2.696273,
2.047864,
6.479091,
1.717318,
1.918682,
1.370318,
5.227864,
1.621091,
2.356864,
1.888500,
1.483045,
2.348000,
2.221364,
5.004955,
3.125591,
2.506318,
2.510091,
4.233727,
6.675409,
1.512136,
1.958000,
4.122591,
2.294818,
2.087091,
4.094409,
1.762909,
4.137455,
2.025045,
6.276500,
1.079045,
4.812500,
2.449318,
3.789318,
1.837636,
5.229136,
1.329773,
5.143045,
4.090591,
1.784409,
1.073955,
2.384727,
1.081591,
3.641045,
2.264955,
1.452636,
1.636273,
1.022045,
4.652909,
6.194182,
3.475136,
4.530045,
1.224682,
6.171364,
8.628227,
1.296045,
2.036455,
2.241636,
1.132227,
2.555682,
2.406227,
1.818636,
2.168182,
3.099045,
1.704636,
3.424455,
2.670045,
2.001000,
2.284682,
3.809455,
1.918682,
3.242091,
1.263909,
2.321409,
2.425227,
1.301909,
1.779364,
1.273045,
1.262636,
2.420182,
3.427000,
2.692500,
4.171682,
2.014909,
3.085091,
3.657500,
2.146636,
6.199227,
4.197045,
1.337409,
1.869273,
1.764182,
1.957955,
1.507091,
1.730000,
1.391818,
2.155500,
2.045318,
2.928000,
2.009000,
2.127636,
1.470364,
1.824955,
1.313318,
1.431091,
